	Kanji	Romaji	Title	Screenplay	Art	Animation	Direction	Chapters	Episode_num
0	ロビン解放！ルフィ対ルッチ頂上決戦	Robin Kaihō! Rufi tai Rucchi chōjō kessen	Robin's Liberation! Luffy vs. Lucci: Peak of the Decisive Battle	古賀直樹 - Koga Naoki	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	小林ゆかり - Yukari Kobayashi ::: 鈴木伸一 - Shinichi Suzuki	清水明 - Akira Shimizu	420 p.6-19 ::: 421 p.2	Episode 302
1	トナカイは青っ鼻！チョッパーの秘密	Tonakai wa Aoppana! Choppā no Himitsu!	The Blue-Nosed Reindeer! Chopper's Secret	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato	久田和也 - Kazuya Hisada	西尾大介 - Daisuke Nishio	139 (pp. 12-19) ::: 140 (pp. 3-18)	Episode 84
2	砂漠の海賊団登場！自由に生きる男達	Sabaku no kaizokudan tōjō! Jiyū ni ikiru otokotachi	Here Come the Desert Pirates! The Men Who Live Free	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	高木雅之 - Masayuki Takagi	西尾大介 - Daisuke Nishio	Chapter 162 (p. 15-16) ::: 	Episode 98
3	逆転大脱出への鍵！ドルドルボール！	Gyakuden dai dasshutsu e no kagi! Dorudoru Bōru!	The Key to Turning the Tide and a Great Escape! Doru Doru Ball!	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato	高木雅之 - Masayuki Takagi	西尾大介 - Daisuke Nishio	Chapter 175 (p. 2-19) ::: Chapter 176 (p. 2-14) ::: 	Episode 109
4	始まりはあの日！ビビが語る冒険譚	Hajimaru wa ano hi! Bibi ga kataru bōkendan	Everything Began That Day! Vivi Tells of her Adventures!	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	久田和也 - Kazuya Hisada	西尾大介 - Daisuke Nishio	Chapter 215 (p. 2-19) ::: Chapter 216 (p. 2-19) ::: 	Episode 129
5	ワノ国! 桜舞うサムライの国へ	Wano Kuni! Sakura Mau Samurai no Kuni e	Wano Country! To the Land of Samurai where Cherry Blossoms Flutter	米村正二 - Shōji Yonemura	本間禎章 - Sadaaki Honma ::: 飯野敏典 - Toshinori Īno	松田翠 - Midori Matsuda	長峯達也 - Tatsuya Nagamine	Chapter 909 (p. 8-17) ::: 	Episode 892
6	お玉登場 ルフィVSカイドウ軍!	O-Tama Tōjō - Rufi tai Kaidō-gun!	O-Tama Appears - Luffy vs. Kaidou's Army!	冨岡淳広 - Atsuhiro Tomioka	本間禎章 - Sadaaki Honma ::: 田中里緑 - Midori Tanaka	伊藤修一 - Shūichi Itō	暮田公平 - Kōhei Kureta	Chapter 910 (p. 16-17) ::: 	Episode 893
7	必ず来る ワノ国のエース伝説!	Kanarazu Kuru - Wano Kuni no Ēsu Densetsu!	He'll Come - The Legend of Ace in Wano Country!	田中仁 - Hitoshi Tanaka	本間禎章 - Sadaaki Honma ::: 黄国威 - Guo Wei Huang	五十内裕輔 - Yūsuke Isōchi ::: 中谷友紀子 - Yukiko Nakatani	小牧文 - Aya Komaki	Chapter 911 (p. 12-19) ::: 	Episode 894
8	相撲決戦 麦わらVS最強の横綱!	Sumō Kessen - Mugiwara tai Saikyō no Yokozuna!	A Climactic Sumo Battle - Straw Hat vs. the Strongest Ever Yokozuna!	山崎亮 - Ryo Yamazaki	本間禎章 - Sadaaki Honma	伊藤修一 - Shūichi Itō	鈴木裕介 - Yusuke Suzuki	Chapter 916 (p. 6-15) ::: 	Episode 903
9	任侠伝! ゾロとトの康二人旅!	Ninkyō Den! Zoro to Tonoyasu Futari-tabi!	A Tale of Chivalry! Zoro and Tonoyasu's Little Trip!	山崎亮 - Ryo Yamazaki	本間禎章 - Sadaaki Honma	高木雅之 - Masayuki Takagi	鈴木裕介 - Yusuke Suzuki	Chapter 928 (p. 16-17) ::: Chapter 929 (p. 3-12) ::: 	Episode 922
10	修羅場! 怒れる大蛇 将軍オロチ	Shuraba! Ikareru Daija Shōgun Orochi	Pandemonium! The Monster Snake, Shogun Orochi	冨岡淳広 - Atsuhiro Tomioka	大西穣 - Minoru Ōnishi ::: 本間禎章 - Sadaaki Honma	新垣重文 - Shigefumi Shingaki ::: 市川慶一 - Keiichi Ichikawa	伊藤聡伺 - Satoshi Itō	Chapter 932 (p. 9-17) ::: 	Episode 927
11	花散る! ワノ国一の美女の最期	Hana Chiru! Wano Kuni Ichi no Bijo no Saigo	A Flower Falls! The Final Moments of the Most Beautiful Woman in Wano Country	中山智博 - Tomohiro Nakayama	大西穣 - Minoru Ōnishi ::: 本間禎章 - Sadaaki Honma	久田和也 - Kazuya Hisada	所勝美 - Katsumi Tokoro	Chapter 933 (p. 5-17) ::: 	Episode 928
12	仲間達の行方 空島（ウェザリア）リポートと改造動物（サイボーグアニマル）	Nakama-tachi no Yukue - Wezaria Repōto to Saibōgu Animaru	The Crewmates' Whereabouts - Weatheria Report and Cyborg Animals	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	井手武生  - Takeo Ide	小牧文 - Aya Komaki	555 p.1 :::  556 p.1 :::  548 p.1 :::  549 p.1 (Cover Pages)	Episode 453
13	勝者だけが正義 発動! センゴクの作戦!	Shōsha dake ga Seigi - Hatsudō! Sengoku no Sakusen!	Only the Winner is Justice - Put Into Motion! Sengoku's Plan!	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	井手武生  - Takeo Ide	小牧文 - Aya Komaki	556 p.2-17	Episode 465
14	処刑執行命令下る 包囲壁を突破せよ!	Shokei Shikkō Shirei Kudaru - Hōiheki o Toppaseyo!	None	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	井上栄作 - Eisaku Inoue	小牧文 - Aya Komaki	565 p.2-17	Episode 474
15	海軍本部崩壊! 白ひげ言葉なき怒り!	Kaigun Honbu Hōkai! Shirohige Kotobanaki Ikari!	Marine Headquarters Collapses! Whitebeard's Silent Rage!	田中仁 - Hitoshi Tanaka	佐藤美幸 - Miyuki Sato	井上栄作 - Eisaku Inoue	小牧文 - Aya Komaki	574 p.16-17 :::  575 p.2-15 ::: 576 p.2-3	Episode 484
16	ルフィとエース 兄弟の出会いの物語!	Rufi to Ēsu - Kyōdai no Deai no Monogatari!	Luffy and Ace - The Story of the Brothers' Meeting!	田中仁 - Hitoshi Tanaka	吉池隆司 - Ryūji Yoshiike	井上栄作 - Eisaku Inoue	小牧文 - Aya Komaki	582 p.16-19 ::: 583 p.2-11	Episode 493
17	よろしく頼む! 兄弟から届いた手紙!	Yoroshiku Tanomu! Kyōdai kara Todoita Tegami!	I'm Counting On You! A Letter From the Brother!	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	出口としお - Toshio Deguchi	小牧文 - Aya Komaki	588 p.5-18 ::: 589 p.2-6	Episode 503
18	地獄を生き抜け サンジ男をかけた勝負	Jigoku o Ikinuke - Sanji Otoko o Kaketa Shōbu	Live Through Hell - Sanji's Fight with Men at Stake	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	川村敦子 - Atsuko Kawamura	小牧文 - Aya Komaki	595 p.16-19 ::: 596 p.2-5 :::  12-15	Episode 514
19	海中の死闘　現れた大海原の悪魔	Kaichū no Shitō - Arawareta Ōunabara no Akuma	Undersea Struggle - The Demon of the Ocean Appears	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	井上栄作 - Eisaku Inoue	小牧文 - Aya Komaki	604 p.6-19 ::: 605 p.2-11	Episode 524
20	弱虫で泣き虫! 硬殻塔の人魚姫	Yowamushi de Nakimushi! Kōkaku-tō no Ningyo Hime	A Coward and a Crybaby! The Mermaid Princess in Hard-Shell Tower	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	出口としお - Toshio Deguchi	小牧文 - Aya Komaki	613 p.2-17	Episode 532
21	蘇る因縁! ナミと魚人海賊団!	Yomigaeru In'nen! Nami to Gyojin Kaizoku-dan!	Revived Fate! Nami and the Fish-Man Pirates!	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	井手武生  - Takeo Ide	小牧文 - Aya Komaki	620 p.2-16	Episode 539
22	突然の悲劇! 未来を閉ざす凶弾	Totsuzen no Higeki! Mirai o Tozasu Kyōdan	Unexpected Disaster! An Assassin's Bullet Shuts the Future	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	高木雅之 - Masayuki Takagi	小牧文 - Aya Komaki	625 p.18-19 ::: 626 p.2-19	Episode 546
23	衝撃の告白 オトヒメ暗殺の真実	Shōgeki no Kokuhaku - Otohime Ansatsu no Shinjitsu	None	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	新垣重文 - Shigefumi Shingaki	小牧文 - Aya Komaki	632 p.2-19	Episode 552
24	大乱戦! 一味VS新魚人海賊団!	Dai-ransen! Ichimi tai Shin Gyojin Kaizokudan!	Battle Royal! The Crew vs. the New Fish-Man Pirates!	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	石塚勝海 - Katsumi Ishizuka	小牧文 - Aya Komaki	640 p.2-19	Episode 561
25	未来へ! タイヨウへと続く道!	Mirai e! Taiyō e to Tsuzuku Michi!	To the Future! The Path Towards the Sun!	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	出口としお - Toshio Deguchi	小牧文 - Aya Komaki	Chapter 648 (p. 2-19) ::: 	Episode 568
26	Zの野望編 小さな巨人リリー!	Zetto no Yabō Hen - Chiisana Kyojin Rirī!	Z's Ambition Arc - The Little Giant Lily!	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi	久田和也 - Kazuya Hisada ::: 飯飼一幸 ::: 渡辺奈月 ::: 五十内裕輔	小牧文 - Aya Komaki	Film Z Prologue	Episode 575
27	子供達を救え! 一味戦闘開始	Kodomo-tachi o Sukue! Ichimi Sentō Kaishi	Save the Children! The Crew Starts to Fight	菅良幸 - Yoshiyuki Suga	白石美穂 - Miho Shiraishi	石塚勝海 - Katsumi Ishizuka	小牧文 - Aya Komaki	Chapter 658 (p. 2-11) ::: Chapter 659 (p. 5-9 ::: 13)	Episode 583
28	チョッパー激怒 M非道なる実験	Choppā Gekido - Masutā Hidōnaru Jikken	Chopper Enraged - Master's Inhumane Experiments	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	中谷友紀子 - Yukiko Nakatani	小牧文 - Aya Komaki	Chapter 665 (p. 2-17)	Episode 591
29	大激戦 シーザー真の能力発動!	Dai-Gekisen - Shīzā Shin no Nōryoku Hatsudō!	An Intense Battle - Caesar Exercises His True Ability!	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	中谷友紀子 - Yukiko Nakatani ::: 藤崎真吾 - Shingo Fujisaki	小牧文 - Aya Komaki	671 p.2-17 ::: 672 p.6	Episode 597
30	反撃開始! ルフィ・ロー大脱出	Hangeki Kaishi! Rufi Rō Dai-Dasshutsu	The Counterattack Begins! Luffy and Law's Great Escape	田中仁 - Hitoshi Tanaka	吉池隆司 - Ryūji Yoshiike	五十内裕輔 - Yūsuke Isōchi	小牧文 - Aya Komaki	Chapter 677 (p. 2-19)	Episode 603
31	ルフィ凍死!? 恐怖の雪女モネ!	Rufi Tōshi!? Kyōfu no Yuki-On'na Mone!	Luffy's Freezing to Death!? The Terrifying Snow Woman, Monet!	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	井手武生  - Takeo Ide	小牧文 - Aya Komaki	Chapter 683 (p. 2-19)	Episode 609
32	友達を守る! モチャ命がけの逃走	Tomodachi o Mamoru! Mocha Inochi-gake no Tōsō	I'll Protect My Friends! Mocha's Desperate Escape	米村正二 - Shōji Yonemura	白石美穂 - Miho Shiraishi	島貫正弘 - Masahiro Shimanuki	小牧文 - Aya Komaki	Chapter 688 (p. 2-17)	Episode 614
33	大暴れ! 無敵のフランキー将軍	Ō-abare! Muteki no Furankī Shōgun	Running Wild! Invincible General Franky	上坂浩彦 - Hirohiko Kamisaka	吉池隆司 - Ryūji Yoshiike	井手武生  - Takeo Ide	小牧文 - Aya Komaki	Chapter 693 (p. 3-17)  :::  Chapter 694 (p. 6 ::: 10-11)	Episode 619
34	ルフィ海に死す!? 海賊同盟崩壊	Rufi Umi ni Shisu!? Kaizoku Dōmei Hōkai	Luffy Dies at Sea!? The Pirate Alliance Comes Apart	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike ::: 白石美穂 - Miho Shiraishi	山下恵 - Megumi Yamashita ::: 坂巻貞彦 - Sadahiko Sakamaki	小牧文 - Aya Komaki	Filler	Episode 627
35	海賊貴公子 キャベンディッシュ	Kaizoku Kikōshi Kyabendisshu	The Pirate Prince Cavendish	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	川村敦子 - Atsuko Kawamura	小牧文 - Aya Komaki	Chapter 704 (p. 10-19) ::: Chapter 705 (p. 2-7) ::: Chapter 706 (p. 6-7)	Episode 634
36	伝説の海賊 首領（ドン）・チンジャオ!	Densetsu no Kaizoku - Don Chinjao!	The Legendary Pirate - Don Chinjao!	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	五十内裕輔 - Yūsuke Isōchi	小牧文 - Aya Komaki	Chapter 716 (p. 2-19)	Episode 646
37	竜の爪炸裂! ルーシー脅威の一撃!	Ryū no Tsume Sakuretsu! Rūshī Kyōi no Ichigeki!	Dragon Claw Strikes! Lucy's Intimidating Attack!	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi	五十内裕輔 - Yūsuke Isōchi	小牧文 - Aya Komaki	Chapter 736 (p. 16-17) ::: Chapter 737 (p. 4-11) ::: Chapter 738 (p. 2-3) ::: 	Episode 670
38	快進撃! ルフィ軍団VSピーカ!	Kai-Shingeki! Rufi Gundan tai Pīka!	Steady Progress! Luffy's Army vs. Pica!	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	川村敦子 - Atsuko Kawamura	小牧文 - Aya Komaki	Chapter 749 (p. 2-15) ::: Chapter 750 (p. 8) ::: 	Episode 685
39	共同戦線 ルフィ勝利への突破口	Kyōdō Sensen - Rufi Shōri e no Toppakō	A United Front - Luffy's Breakthrough to the Victory	吉池隆司 - Ryūji Yoshiike	白石美穂 - Miho Shiraishi	久田和也 - Kazuya Hisada	小牧文 - Aya Komaki	Chapter 752 (p. 16) ::: Chapter 753 (p. 2-15) ::: 	Episode 690
40	小人の姫 囚われのマンシェリー	Kobito no Hime - Toraware no Mansherī	The Little People's Princess - Captive Mansherry	冨岡淳広 - Atsuhiro Tomioka	吉池隆司 - Ryūji Yoshiike	北崎正浩 - Masahiro Kitazaki	小牧文 - Aya Komaki	Chapter 755 (p. 8-17) ::: Chapter 756 (p. 3-5) ::: 	Episode 693
41	気高き一族 ドフラミンゴの正体!	Kedakaki Ichizoku - Dofuramingo no Shōtai!	A Noble Family - The True Identity of Doflamingo!	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	髙木雅之 - Takagi Masayuki	小牧文 - Aya Komaki	Chapter 760 (p.2-13)	Episode 699
42	愛の決戦 新棟梁サイVSベビー5	Ai no Kessen - Shin Tōryō Sai tai Bebī Faibu	The Battle of Love - The New Leader Sai vs. Baby 5	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	川村敦子 - Atsuko Kawamura	小牧文 - Aya Komaki	Chapter 769 (p. 17) ::: Chapter 771 (p. 5-19) ::: 	Episode 710
43	死の星屑 ディアマンテ猛攻の嵐	Shi no Hoshikuzu - Diamante Mōkō no Arashi	Stardust of Death - Diamante's Storm of Vicious Attacks	米村正二 - Shōji Yonemura	白石美穂 - Miho Shiraishi	久田和也 - Kazuya Hisada	小牧文 - Aya Komaki	Chapter 775 (p. 17-19) ::: Chapter 776 (p. 2-14) ::: 	Episode 716
44	約束の場所 ルフィ限界の一騎打ち	Yakusoku no Basho - Rufi Genkai no Ikkiuchi	The Rendezvous - Luffy, a One-on-One at His Limit	米村正二 - Shōji Yonemura	白石美穂 - Miho Shiraishi	久田和也 - Kazuya Hisada ::: 出口としお - Toshio Deguchi	小牧文 - Aya Komaki	Chapter 855 (p. 13-17) ::: 	Episode 824
45	家族（ファミリー）集結 開宴! 地獄のお茶会	Famirī Shūketsu - Kaien! Jigoku no Ochakai	The Family Gets Together - The Tea Party from Hell Starts!	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	五十内裕輔 - Yūsuke Isōchi	小牧文 - Aya Komaki	Chapter 860 (p. 7-17) ::: 	Episode 830
46	悪の軍団 変身! ジェルマ66 (ダブルシックス)	Aku no Gundan - Henshin! Jeruma Daburu Shikkusu	The Evil Army - Transform! Germa 66	米村正二 - Shōji Yonemura	齋藤優 - Yū Saitō ::: 吉池隆司 - Ryūji Yoshiike	島貫正弘 - Masahiro Shimanuki ::: 市川慶一 - Keiichi Ichikawa	小牧文 - Aya Komaki	Chapter 868 (p. 16-17) ::: 	Episode 839
47	激闘開幕 ルフィVSカタクリ	Gekitō Kaimaku - Rufi tai Katakuri	A Hard Battle Starts - Luffy vs. Katakuri	米村正二 - Shōji Yonemura	白石美穂 - Miho Shiraishi	横山健次 - Kenji Yokoyama ::: 福本泰子 - Fukumoto Yasuko	小牧文 - Aya Komaki	Chapter 879 (p. 15-17) ::: 	Episode 852
48	男の生き様 ベッジとルフィ船長の決意	Otoko no Ikizama - Bejji to Rufi Senchō no Ketsui	A Man's Way of Life - Bege and Luffy's Determination as Captains	冨岡淳広 - Atsuhiro Tomioka	白石美穂 - Miho Shiraishi	五十内裕輔 - Yūsuke Isōchi	小牧文 - Aya Komaki	Chapter 886 (p. 12-19) ::: Chapter 887 (p. 2-8) ::: 	Episode 860
49	男の覚悟 カタクリ命がけ大勝負	Otoko no Kakugo - Katakuri Inochigake Ōshōbu	One Man's Determination - Katakuri's Deadly Big Fight	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	伊藤修一 - Shūichi Itō	小牧文 - Aya Komaki	Chapter 893 (p. 8-17) ::: Chapter 894 (p. 9-12) ::: 	Episode 868
50	魅惑の味 幸せのサンジのケーキ	Miwaku no Aji - Shiawase no Sanji no Kēki	A Captivating Flavor - Sanji's Cake of Happiness	田中仁 - Hitoshi Tanaka	齋藤優 - Yū Saitō	出口としお - Toshio Deguchi	小牧文 - Aya Komaki	Chapter 900 (p. 3-19) ::: 	Episode 875
52	謎の墓標 おでん城跡での再会!	Nazo no Bohyō - Oden-jō Ato de no Saikai!	Mysterious Grave Markers - A Reunion at the Ruins of Oden Castle!	中山智博 - Tomohiro Nakayama	田中里緑 - Midori Tanaka	横山健次 - Kenji Yokoyama	小牧文 - Aya Komaki	Chapter 919 (p. 6-17) ::: 	Episode 909
53	聖地激動 不敵に笑う四皇黒ひげ	Seichi Gekidō - Futeki ni Warau Yonkō Kurohige	The Holy Land in Tumult - The Emperor Blackbeard Laughs Boldly	田中仁 - Hitoshi Tanaka	黄国威 - Guo Wei Huang	横山健次 - Kenji Yokoyama	小牧文 - Aya Komaki	Chapter 925 (p. 2-12) ::: 	Episode 917
54	牛鬼丸! ゾロおいはぎ橋の決闘	Gyūkimaru! Zoro Oihagi-bashi no Kettō	Gyukimaru! Zoro Fights a Duel on Oihagi Bridge	藤田伸三 - Shinzō Fujita	陳烔年 - Tongnian Chen	出口としお - Toshio Deguchi ::: 松田翠 - Midori Matsuda	小牧文 - Aya Komaki	Chapter 937 (p. 3-14) ::: 	Episode 933
55	ワノ国一の侍! 光月おでん登場	Wano Kuni Ichi no Samurai! Kōzuki Oden Tōjō	The Number-One Samurai in Wano Country! Kozuki Oden Appears	米村正二 - Shōji Yonemura	飯野敏典 - Toshinori Īno	高木雅之 - Masayuki Takagi	小牧文 - Aya Komaki	Chapter 959 (p. 10-17) ::: Chapter 960 (p. 2-17) ::: 	Episode 960
56	最凶兵器! ルフィを狙う疫災（エキサイト）弾	Saikyō Heiki! Rufi o Nerau Ekisaito Dan	The Ultimate Weapon! Excite Bullets Aimed at Luffy	山崎亮 - Ryo Yamazaki	陳烔年 - Tongnian Chen	桝井一平 - Ippei Masui	熊野千尋 - Chihiro Kumano	Chapter 947 (p. 13-17) ::: Chapter 948 (p. 2-10) ::: 	Episode 947
57	打倒四皇 極秘討ち入り作戦発動	Datō Yonkō - Gokuhi Uchiiri Sakusen Hatsudō	Bringing Down the Emperor - A Secret Raid Operation Begins	山崎亮 - Ryo Yamazaki	田中里緑 - Midori Tanaka	北崎正浩 - Masahiro Kitazaki	中島大輔 - Daisuke Nakajima	Chapter 920 (p. 12-17) ::: Chapter 921 (p. 3-9) ::: 	Episode 911
58	大将の決断 藤虎VSドフラミンゴ	Taishō no Ketsudan - Fujitora tai Dofuramingo	The Admiral's Decision — Fujitora vs. Doflamingo	米村正二 - Shōji Yonemura	吉池隆司 - Ryūji Yoshiike	川村敦子 - Atsuko Kawamura	鎌仲史陽 - Fumiharu Kamanaka	Chapter 735 (p. 2-19) ::: 	Episode 667
59	伝説の戦い! ガープとロジャー	Densetsu no Tatakai! Gāpu to Rojā	A Legendary Battle! Garp and Roger	田中仁 - Hitoshi Tanaka	黄国威 - Guo Wei Huang	Song Hyeonju ::: Han Eunmi ::: 桝井一平 - Ippei Masui	竹内光 - Hikaru Takeuchi	Chapter 957 (p. 3-19) ::: 	Episode 958
60	ゾロ驚愕 衝撃! 謎の美女の正体	Zoro Kyōgaku - Shōgeki! Nazo no Bijo no Shōtai	Zoro, Stunned - The Shocking Identity of the Mysterious Woman!	山崎亮 - Ryo Yamazaki	田中里緑 - Midori Tanaka	横山健次 - Kenji Yokoyama	竹下健一 - Kenichi Takeshita	Chapter 938 (p. 10-13) ::: Chapter 939 (p. 8-14) ::: 	Episode 935
61	勝ちに来た! ルフィ決死の叫び	Kachi ni Kita! Rufi Kesshi no Sakebi	We're Here to Win! Luffy's Desperate Scream	冨岡淳広 - Atsuhiro Tomioka	田中里緑 - Midori Tanaka	伊藤公崇 - Kimitaka Itō ::: 出口としお - Toshio Deguchi	竹下健一 - Kenichi Takeshita	Chapter 949 (p. 7-19) ::: 	Episode 949
62	交える刃! ロジャーと白ひげ!	Majieru Yaiba! Rojā to Shirohige!	Crossing Swords! Roger and Whitebeard!	田中仁 - Hitoshi Tanaka	飯野敏典 - Toshinori Īno	久田和也 - Kazuya Hisada	竹下健一 - Kenichi Takeshita	Chapter 965 (p. 7-17) ::: Chapter 966 (p. 2-5) ::: 	Episode 965
63	涙の約束！さらわれたモモの助	Namida no Yakusoku! Sarawareta Momonosuke	A Tearful Promise! The Kidnapped Momonosuke	中山智博 - Tomohiro Nakayama	田中里緑 - Midori Tanaka	高木雅之 - Masayuki Takagi ::: 井上栄作 - Eisaku Inoue	竹下健一 - Kenichi Takeshita	Chapter 976 (p. 8-19) ::: 	Episode 980
64	ゼウスの反逆！？ナミ絶体絶命！	Zeusu no Hangyaku!? Nami Zettai Zetsumei!	Zeus' Treason?! The Cornered Nami!	藤田伸三 - Shinzō Fujita	藤倉桃子 - Momoko Fujikura	伊藤修一 - Shūichi Itō	竹下健一 - Kenichi Takeshita	Chapter 988 (p. 6-15) ::: 	Episode 998
65	笑うカイドウ！四皇VS新世代！	Warau Kaidō! Yonkō tai Shin Sedai!	Kaido Laughs! Four Emperors vs. New Generation!	藤田伸三 - Shinzō Fujita	黄国威 - Guo Wei Huang	横山健次 - Kenji Yokoyama	竹下健一 - Kenichi Takeshita	Chapter 1003 (p. 2-17) ::: 	Episode 1018
66	究極の力 オペオペの実の秘密!	Kyūkyoku no Chikara - Ope Ope no Mi no Himitsu!	The Ultimate Power - The Secret of the Ope Ope no Mi!	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	久田和也 - Kazuya Hisada	藤田健太郎 - Kentarō Fujita	Chapter 761 (p.2-15)	Episode 700
67	熱き闘い ローVSドフラミンゴ	Atsuki Tatakai - Rō tai Dofuramingo	An Intense Battle - Law vs. Doflamingo	冨岡淳広 - Atsuhiro Tomioka	白石美穂 - Miho Shiraishi	久田和也 - Kazuya Hisada	藤田健太郎 - Kentarō Fujita	Chapter 769 (p.2-11) ::: Chapter 770 (p.4-7)	Episode 708
68	大地横断 巨像ピーカ奇襲作戦!	Daichi Ōdan - Kyozō Pīka Kishū Sakusen!	Moving Across the Ground! The Giant Statue Pica's Surprise Maneuver!	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	川村敦子 - Atsuko Kawamura	藤田健太郎 - Kentarō Fujita	Chapter 777 (p. 10-19) ::: Chapter 778 (p. 2-4) ::: 	Episode 718
69	怒り爆発 おれが全部引き受ける	Ikari Bakuhatsu - Ore ga Zenbu Hikiukeru	Anger Erupts - I Will Take Everything upon Myself	冨岡淳広 - Atsuhiro Tomioka	吉池隆司 - Ryūji Yoshiike	川村敦子 - Atsuko Kawamura	藤田健太郎 - Kentarō Fujita	Chapter 783 (p. 6-19) ::: 	Episode 725
70	前代未聞 大将藤虎衝撃の決断!	Zendai Mimon - Taishō Fujitora Shōgeki no Ketsudan!	The Unheard-of - Admiral Fujitora's Surprising Decision!	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	横山健次 - Kenji Yokoyama	藤田健太郎 - Kentarō Fujita	Chapter 792 (p. 2-15) ::: 	Episode 735
71	非常事態 さらわれたレベッカ!	Hijō Jitai - Sarawareta Rebekka!	A State of Emergency - Rebecca Is Kidnapped!	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	横山健次 - Kenji Yokoyama	藤田健太郎 - Kentarō Fujita	Chapter 796 (p. 16-19) ::: Chapter 797 (p. 2-11) ::: 	Episode 741
72	剣技白熱 ロー・ゾロ遂に見参!	Kengi Hakunestu - Rō Zoro Tsui ni Kenzan!	The Sword Technique Heats Up - Law and Zoro Finally Appear!	米村正二 - Shōji Yonemura	吉池隆司 - Ryūji Yoshiike	髙木雅之 - Takagi Masayuki	藤田健太郎 - Kentarō Fujita	Filler	Episode 749
73	昼の王 イヌアラシ公爵登場!	Hiru no Ō - Inuarashi Kōshaku Tōjō!	Ruler of Day - Duke Inuarashi Appears!	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	五十内裕輔 - Yūsuke Isōchi	藤田健太郎 - Kentarō Fujita	Chapter 808 (p. 12-17) ::: Chapter 809 (p. 3-10) ::: 	Episode 758
74	悪童帰郷 四皇ビッグ・マムの刺客	Akudō Kikyō - Yonkō Biggu Mamu no Shikaku	The Delinquent Comes Home - Emperor Big Mom's Assassins	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	伊藤修一 - Shūichi Itō	藤田健太郎 - Kentarō Fujita	Chapter 811 (p. 17-19) ::: Chapter 812 (p. 2-10) ::: 	Episode 762
75	ワノ国の秘密 光月家と歴史の本文（ポーネグリフ）	Wano Kuni no Himitsu - Kōzuki-ke to Pōnegurifu	The Secret of Wano Country - The Kozuki Family and the Poneglyphs	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	伊藤修一 - Shūichi Itō	藤田健太郎 - Kentarō Fujita	Chapter 818 (p. 8-17) ::: 	Episode 770
76	カイドウ再び 脅威迫る最悪の世代!	Kaidō Futatabi - Kyōi Semaru Saiaku no Sedai!	Kaidou Returns - An Imminent Threat to the Worst Generation!	田中仁 - Hitoshi Tanaka	吉池隆司 - Ryūji Yoshiike	五十内裕輔 - Yūsuke Isōchi	藤田健太郎 - Kentarō Fujita	Chapter 824 (p. 3-15) ::: 	Episode 779
